clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls
0,3,3,1.0, どういったところが好きなんですか？,default, どういったところが好きなんですか？,qs_s_x
0,31,31,1.0, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？,qs_s_x
0,4,4,1.0, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？,qs_s_x
0,15,15,1.0, オリンピックは今までに見たことはありますか？,スポーツ, オリンピックは今までに見たことはありますか？,qs_s_x
0,5,5,1.0, なにかおすすめのスポーツ観戦はありますか？,スポーツ, なにかおすすめのスポーツ観戦はありますか？,qs_s_x
0,1,1,1.0, どんなスポーツをされましたか？,スポーツ, どんなスポーツをされましたか？,qs_s_x
0,7,7,1.0, 最近スポーツはしましたか？,スポーツ, 最近スポーツはしましたか？,qs_s_x
0,3,3,1.0, 好きなスポーツはなんですか？,スポーツ, 好きなスポーツはなんですか？,qs_s_x
0,16,16,1.0, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ, 日本で開催されるオリンピックを、見にいく予定はありますか？,qs_s_x
0,20,20,1.0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？,qs_s_x
0,1,1,1.0, スポーツはよくするんですか？,スポーツ, スポーツはよくするんですか？,qs_s_x
0,7,7,1.0, 競技はなにをご覧になりますか？,スポーツ, 競技は何をご覧になりますか？,qs_s_x
0,16,16,1.0, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？,qs_s_x
0,6,6,1.0, スポーツをする目的は何ですか？,スポーツ, スポーツをする目的は何ですか？,qs_s_x
0,4,4,1.0, 旅行にはよく行かれますか？,旅行, 旅行にはよく行かれますか？,qs_s_x
0,15,15,1.0, 「温泉」などリフレッシュするためにいきますか？,旅行, 温泉などリフレッシュするためにいきますか？,qs_s_x
0,23,23,1.0, 今までいった「旅行」で特におすすめの場所はありますか？,旅行, 今までいった旅行で特におすすめの場所はありますか？,qs_s_x
0,23,23,1.0, さいきん旅行には行きましたか？,旅行, 最近、旅行には行きましたか？,qs_s_x
0,4,4,1.0, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？,qs_s_x
0,10,10,1.0, 旅行はどこに行ったことがありますか？,旅行, 旅行はどこに行ったことがありますか？,qs_s_x
0,11,11,1.0, 旅行に行くときはなにか目的はありますか？,旅行, 旅行に行くときは何か目的はありますか？,qs_s_x
0,3,3,1.0, がっきは何を演奏するのですか。,音楽, 楽器は何を演奏するのですか？,qs_s_x
0,9,9,1.0, カラオケでよくなにをうたうのですか？,音楽, カラオケでよく何を歌うのですか？,qs_s_x
0,3,3,1.0, おすすめの歌手やきょくってありますか？,音楽, おすすめの歌手や曲ってありますか？,qs_s_x
0,14,14,1.0, カラオケは好きですか？,音楽, カラオケは好きですか？,qs_s_x
0,6,6,1.0, コンサートとかには行きますか？,音楽, コンサートとかには行きますか？,qs_s_x
0,22,22,1.0, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qs_s_x
0,7,7,1.0, おすすめの曲はありますか？,音楽, おすすめの曲はありますか？,qs_s_x
0,6,6,1.0, 最近音楽は聞きましたか？,音楽, 最近音楽は聞きましたか？,qs_s_x
0,3,3,1.0, カラオケで歌ったりするのですか？,音楽, カラオケで歌ったりするのですか？,qs_s_x
0,4,4,1.0, カラオケに行くときはお友達と行きますか？,音楽, カラオケに行くときはお友達と行きますか？,qs_s_x
0,10,10,1.0, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,qs_s_x
0,8,8,1.0, どこで食べられたんですか・・,食事, どこで食べられたんですか？,qs_s_x
0,17,17,1.0, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？,qs_s_x
0,2,2,1.0, そうですか。最近はまっている食べ物はありますか・・,食事, 最近はまっている食べ物はありますか？,qs_s_x
0,24,24,1.0, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qs_s_x
0,23,23,1.0, なるほど、普段はどこでスイーツを買いますか？,食事, 普段はどこでスイーツを買いますか？,qs_s_x
0,7,7,1.0, どんなところに行きますか？和食ですか洋食ですか？,食事, どんなところに行きますか？和食ですか洋食ですか？,qs_s_x
0,30,30,1.0, 甘いものと、からいものどちらがお好きですか？,食事, 甘いものと辛いもののどちらがお好きですか？,qs_s_x
0,9,9,1.0, お友達とランチに行ったりしますか？,食事, お友達とランチに行ったりしますか？,qs_s_x
1,1,1,1.0, そうですか、残念です・・,default, そうですか、残念です。,re_d
1,1,1,1.0, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！,re_d
1,16,16,1.0, なるほど、勉強になります・・,default, なるほど、勉強になります。,re_d
1,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！,re_d
1,4,4,1.0, そうですか、なかなかですね。,default, そうですか、なかなかですね。,re_d
1,5,5,1.0, そうですね。,default, そうですね。,re_d
1,10,10,1.0, なるほど、面白そうですね！,default, なるほど、面白そうですね！,re_d
1,4,4,1.0, そうですね、わかります。,default, そうですね、わかります。,re_d
1,57,57,1.0, そうなんですね。,default, そうなんですね。,re_d
1,20,20,1.0, 楽しそうですね！,default, 楽しそうですね！,re_d
1,7,7,1.0, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。,re_d
1,8,8,1.0, そうですね・・ぜひ参考にさせていただきます。,default, そうですね、ぜひ参考にさせていただきます。,re_d
1,4,4,1.0, たのしそうですね。,default, 楽しそうですね。,re_d
1,47,47,1.0, なるほど。,default, なるほど。,re_d
1,128,128,1.0, なるほど、そうなんですね。,default, なるほど、そうなんですね。,re_d
1,2,2,1.0, なるほど、そうなんですね・・,default, なるほど、そうなんですね。,re_d
2,2,2,1.0, すごい！,default, すごい！,re_d_x
2,3,3,1.0, いいですね，とても興味深いです！,default, いいですね、とても興味深いです！,re_d_x
2,18,18,1.0, すごいですね。,default, すごいですね。,re_d_x
2,4,4,1.0, 面白いですよね。,default, 面白いですよね。,re_d_x
2,10,10,1.0, すごいですね！,default, すごいですね！,re_d_x
2,1,1,1.0, そうなんですか．,default, そうなんですか。,re_d_x
2,1,1,1.0, 大変ですよね。,default, 大変ですよね。,re_d_x
2,38,38,1.0, 本当ですか！,default, 本当ですか！,re_d_x
2,3,3,1.0, よくご存じですね。,default, よくご存じですね。,re_d_x
2,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default, そうなんですか。私も独自に調べてみますね。,re_d_x
3,18,18,1.0, ありがとうございます。,default, ありがとうございます。,thank
3,6,6,1.0, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。,thank
3,58,58,1.0, ありがとうございました・・,default, ありがとうございました。,thank
3,20,20,1.0, 貴重な体験談をありがとうございました。,旅行, 貴重な体験談をありがとうございました。,thank
4,2,2,1.0, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ, そのスポーツのおすすめポイントを教えてください？,qs_s_o
4,3,3,1.0, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ, そのスポーツはテレビで鑑賞はされますか？,qs_s_o
4,16,16,1.0, そのほか健康のために、気をつけていることはありますか？,スポーツ, そのほか健康のために、気をつけていることはありますか？,qs_s_o
4,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？,qs_s_o
4,5,5,1.0, その旅先で何かハプニングはありましたか!,旅行, その旅先で何かハプニングはありましたか？,qs_s_o
4,22,22,1.0, その旅先で美味しい食べ物はたべましたか・・,旅行, その旅先で美味しい食べ物はたべましたか？,qs_s_o
4,23,23,1.0, その旅先で何が一番楽しかったですか？,旅行, その旅先で何が一番楽しかったですか？,qs_s_o
4,16,16,1.0, ほかには何か面白いことはありましたか？,旅行, ほかには何か面白いことはありましたか？,qs_s_o
4,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？,qs_s_o
4,7,7,1.0, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？,qs_s_o
4,8,8,1.0, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽, そのほかスローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？,qs_s_o
4,10,10,1.0, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？,qs_s_o
4,20,20,1.0, なるほど、その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？,qs_s_o
4,12,12,1.0, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？,qs_s_o
4,1,1,1.0, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？,qs_s_o
5,8,8,1.0, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re_m_o_1
5,14,14,1.0, なるほど、それは面白そうですね。,default, なるほど、それは面白そうですね。,re_m_o_1
5,12,12,1.0, それは面白そうですね。,default, それは面白そうですね。,re_m_o_1
5,10,10,1.0, なるほど、それは素晴らしい経験ですね。,旅行, なるほど、それは素晴らしい経験ですね。,re_m_o_1
5,7,7,1.0, なるほど、それはリラックスできますね。,旅行, なるほど、それはリラックスできますね。,re_m_o_1
5,11,11,1.0, なるほど、それは美味しそうですね・・,食事, なるほど、それは美味しそうですね。,re_m_o_1
6,3,3,1.0, 具体的に教えてください？,default, 具体的に教えてください？,qs_d_o
6,13,13,1.0, 具体的には教えてもらえますか？,default, 具体的には教えてもらえますか？,qs_d_o
6,6,6,1.0, そのほかにおすすめのものはありますか？,default, そのほかにおすすめのものはありますか？,qs_d_o
6,2,2,1.0, ほかには、ありますか？,default, ほかには、ありますか？,qs_d_o
6,19,19,1.0, 具体的にはどういったものですか？,default, 具体的にはどういったものですか？,qs_d_o
6,9,9,1.0, 具体的には何ですか？,default, 具体的には何ですか？,qs_d_o
6,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default, そのほかで、おすすめのものはありますか？あったら教えてください？,qs_d_o
6,5,5,1.0, それのどういったところが好きなんですか？,default, それのどういったところが好きなんですか？,qs_d_o
6,20,20,1.0, 具体的に教えてもらっていいですか？,default, 具体的に教えてもらっていいですか？,qs_d_o
7,10,10,1.0, なるほど、健康的で、ステキですね・・,スポーツ, なるほど、健康的で素敵ですね。,re_s_x_1
7,9,9,1.0, いいですね。テレビ観戦も楽しそうですね！,スポーツ, いいですね。テレビ観戦も楽しそうですね！,re_s_x_1
7,2,2,1.0, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ, なるほど、面白そうですね。機会があれば私も見てみたいです！,re_s_x_1
7,2,2,1.0, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,re_s_x_1
7,10,10,1.0, とても楽しそうですね。,音楽, とても楽しそうですね。,re_s_x_1
7,4,4,1.0, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事, とても美味しそうですね。今度知りあいにもすすめてみようと思います。,re_s_x_1
7,8,8,1.0, そうですか、とても美味しそうですね・・,食事, そうですか、とても美味しそうですね。,re_s_x_1
8,4,4,1.0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,re_s_x_2
8,19,19,1.0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！,re_s_x_2
8,5,5,1.0, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,旅行, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか。,re_s_x_2
8,5,5,1.0, すごい！面白い体験をされましたね!,旅行, すごい！面白い体験をされましたね!,re_s_x_2
8,3,3,1.0, わたしも実際に、演奏をきいてみたいものです。,音楽, わたしも実際に、演奏をきいてみたいものです。,re_s_x_2
8,2,2,1.0, すごいですね。一度聞かせていただけるとうれしいです。,音楽, すごいですね。一度聞かせていただけるとうれしいです。,re_s_x_2
8,4,4,1.0, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽, なまで演奏をきくと、迫力があって、感動するみたいですね！,re_s_x_2
8,2,2,1.0, おばあちゃんがよく家で出してくれていたと言っていました。,食事, おばあちゃんがよく家で出してくれていたと言っていました。,re_s_x_2
8,8,8,1.0, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。,re_s_x_2
8,1,1,1.0, いい思い出だったようです。,食事, いい思い出だったようです。,re_s_x_2
8,8,8,1.0, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,食事, たくさんおしゃべりをすると、楽しくてストレスが発散できるようですね。,re_s_x_2
9,3,3,1.0, それは大変ですよね。,default, それは大変ですよね。,re_m_o_2
9,3,3,1.0, そうなんですか．それでは一度独自で調べてみたいと思います．,default, そうなんですか。それでは一度独自で調べてみたいと思います。,re_m_o_2
9,4,4,1.0, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。,re_m_o_2
